profile_id,lat,lon,date,day_of_year,sst,t_0,t_5,t_10,t_20,t_30,t_50,t_75,t_100,t_125,t_150,t_200,t_300,t_500,t_700,t_1000
7902287_003,8.8,68.1167,2025-03-30,89,29.69,,30.05,30.063,30.046,29.906,29.255,28.344,25.62,21.556,20.133,16.267,13.436,11.41,10.246,8.28
6903139_331,11.4388,47.4035,2025-03-30,89,26.61,,27.029,27.02,26.798,26.673,25.789,25.123,24.176,21.326,19.426,17.555,15.259,14.581,13.471,
2903989_005,16.2667,87.8833,2025-03-30,89,28.94,,29.212,29.155,28.958,28.615,27.982,27.524,27.253,25.261,21.758,16.524,12.346,10.34,8.869,6.94
5907085_053,8.5333,69.4,2025-03-30,89,29.97,,30.469,30.426,30.348,30.255,29.588,29.182,27.822,24.685,19.399,15.934,13.162,11.24,9.767,7.349
2902201_332,18.844,58.541,2025-03-30,89,26.97,,27.392,27.253,27.205,27.166,24.772,23.869,23.612,21.941,20.558,18.564,16.202,12.989,11.371,8.972
7902251_009,10.3667,86.1,2025-03-29,88,29.34,,29.641,29.531,29.798,29.654,29.219,28.316,25.588,21.669,18.966,14.744,11.919,10.061,8.46,6.491
1902673_053,10.95,69.3333,2025-03-29,88,29.6,,30.052,30.04,29.931,29.823,29.401,28.558,25.887,22.399,20.602,16.738,14.01,11.635,10.598,8.489
2902775_229,7.661,88.865,2025-03-29,88,29.46,29.752,29.39,29.371,29.395,29.434,29.418,29.349,26.183,21.989,19.198,14.754,12.041,10.082,8.48,6.569
6903140_326,23.9954,62.8946,2025-03-29,88,25.47,,25.273,25.268,25.238,24.943,23.849,23.764,23.49,23.068,21.558,19.148,16.88,13.201,11.828,9.177
6903139_330,11.5221,47.3226,2025-03-29,88,26.65,,27.198,27.195,27.2,27.191,25.773,25.071,24.623,21.263,19.861,17.89,15.276,14.687,14.018,10.516
6903141_326,23.9599,59.4087,2025-03-29,88,25.29,,25.01,24.844,24.434,24.117,23.916,23.785,23.777,23.763,23.741,21.983,22.146,14.348,12.196,9.454
6903138_330,10.2972,55.4424,2025-03-29,88,27.91,,28.121,28.119,27.724,27.519,26.37,25.791,25.306,21.149,18.327,15.327,13.745,11.838,10.929,8.304
2903145_050,9.2342,55.497,2025-03-29,88,27.9,,28.122,28.121,28.123,27.344,25.761,25.56,22.38,19.497,17.536,14.824,12.543,10.738,10.109,8.335
2903142_086,13.397,62.3461,2025-03-29,88,28.56,,28.602,28.601,28.299,27.757,25.499,24.884,24.417,20.271,18.325,16.47,13.755,11.974,10.75,8.849
7902249_009,10.4833,84.2333,2025-03-29,88,29.54,,29.683,29.678,29.618,29.685,29.775,29.594,28.609,24.883,21.209,16.413,12.465,10.162,8.611,
1901898_250,13.1139,48.9758,2025-03-28,87,27.05,,,,,25.545,24.106,23.475,22.249,19.99,18.861,17.026,15.097,14.598,13.889,10.778
4903794_017,7.2287,88.305,2025-03-28,87,29.27,,29.558,29.548,29.382,29.188,28.496,28.039,24.537,20.686,19.237,15.603,11.892,10.037,8.405,6.443
7902190_034,15.8382,83.1731,2025-03-28,87,29.0,,29.306,29.314,29.319,28.747,27.835,27.485,26.755,22.206,19.399,15.838,12.15,10.234,8.697,6.867
7901016_059,11.9848,56.1152,2025-03-28,87,27.47,,27.893,27.902,27.891,27.599,25.207,24.546,24.228,23.421,20.222,17.589,14.107,12.69,11.621,8.569
5907179_003,12.3167,68.15,2025-03-28,87,29.7,,29.982,29.984,29.936,29.752,29.124,27.463,24.408,22.042,19.115,15.786,13.112,11.8,10.786,8.575
2903149_050,13.313,62.8197,2025-03-28,87,28.53,,28.674,28.678,28.577,28.555,28.022,25.292,21.672,18.816,18.366,15.511,13.282,11.542,10.891,8.727
7902248_009,9.2167,87.0333,2025-03-28,87,29.36,,29.723,29.575,29.516,29.244,28.52,26.941,23.122,18.769,17.555,15.082,12.02,10.141,8.612,6.67
